permno,ticker,name,weight,sector,MLScore,alt_alpha_score,SUEScore,ValueScore,RevMomScore,IntegratedScore,FinalScore,current_price
24875,ALAB,ASTERA LABS INC,0.009471153846153848,Other,0.03481556418106686,5.0,0.9523012552301255,0.2782207216326909,1.2353768090955732,0.8403962326038565,0.964176245210728,311.989990234375
77918,LFUS,LITTELFUSE INC,0.009471153846153848,Business Equipment,0.008204319155000651,1.2846622009391169,0.9251046025104602,0.45581631174851517,1.2353768090955732,0.8698369711369967,0.9478927203065134,453.8699951171875
43123,ATI,A T I INC,0.009471153846153848,Manufacturing,0.010960112132251308,0.7897302942537433,0.9732217573221758,0.21999329392774059,1.2353768090955732,0.8373456518282465,0.9447318007662836,230.0800018310547
51369,TER,TERADYNE INC,0.009471153846153848,Business Equipment,0.008944400407323888,1.2611581668639071,0.9397489539748954,0.20809711459111577,1.2353768090955732,0.815961565153086,0.9356321839080459,379.55999755859375
66384,WDC,WESTERN DIGITAL CORP,0.009471153846153848,Business Equipment,0.008462005480847551,2.613106031687755,0.9163179916317992,0.25801467201200584,1.2353768090955732,0.8155539252196058,0.9354406130268199,437.92999267578125
91090,CROX,CROCS INC,0.009471153846153848,Manufacturing,0.011106356824265348,0.7965525633526598,0.8828451882845189,0.976121115819209,1.2353768090955732,0.9766704943304023,0.9348659003831417,131.7100067138672
89215,AMN,A M N HEALTHCARE SERVICES INC,0.009471153846153848,Other,0.018321155219519932,1.870512493437536,0.9761506276150628,0.9395169083676485,0.0,0.7717620722801967,0.9289272030651341,33.11000061035156
52695,GWW,GRAINGER W W INC,0.009471153846153848,Shops,0.010960112132251308,0.19824523536788405,0.9832635983263598,0.26259043049446884,1.2353768090955732,0.8535179485222297,0.9226053639846743,1301.93994140625
11208,OFG,O F G BANCORP,0.009471153846153848,Finance,0.010960112132251308,0.015077454726562854,0.9824267782426779,0.8296521376275559,1.2353768090955732,0.9948231242594765,0.9208812260536399,52.540000915527344
76573,MLI,MUELLER INDUSTRIES INC,0.009471153846153848,Manufacturing,0.010960112132251308,-0.007556194304368129,0.9782426778242678,0.8139257821772777,1.2353768090955732,0.9885902801667814,0.9159003831417624,68.44999694824219
15579,TXN,TEXAS INSTRUMENTS INC,0.009471153846153848,Business Equipment,0.008204319155000651,0.5520305357203059,0.901255230125523,0.33238715621118975,1.2353768090955732,0.8258625274409497,0.9088122605363984,281.239990234375
84381,ROK,ROCKWELL AUTOMATION INC,0.009471153846153848,Manufacturing,0.008204319155000651,0.30811490990759083,0.9251046025104602,0.3094689146845179,1.2353768090955732,0.8332501218709973,0.9032567049808429,447.0
24643,HWM,HOWMET AEROSPACE INC,0.009471153846153848,Manufacturing,0.010960112132251308,0.17997397422489583,0.9732217573221758,0.14737521067749135,1.2353768090955732,0.8191911310156841,0.9010536398467432,281.3399963378906
15291,ETSY,ETSY INC,0.009471153846153848,Other,0.008395601186449508,0.565198887437565,0.8451882845188284,0.6433852580437631,1.2353768090955732,0.872775232815411,0.9005747126436782,79.4800033569336
14596,FIVN,FIVE 9 INC,0.009471153846153848,Other,0.010960112132251308,0.6181658615746969,0.9807531380753138,0.8117915825294842,0.0,0.7423621215737937,0.8996168582375479,32.630001068115234
80864,RS,RELIANCE INC,0.009471153846153848,Shops,0.008204319155000651,0.4194341997308049,0.8803347280334728,0.45954364920698393,1.2353768090955732,0.8461453745392706,0.8994252873563219,423.5
78829,UMBF,U M B FINANCIAL CORP,0.009471153846153848,Finance,0.009931879721776282,0.11488791080170707,0.8794979079497908,0.7933811312165698,1.2353768090955732,0.9291444939956421,0.8888888888888888,147.5399932861328
86964,FFIV,F 5 INC,0.009471153846153848,Business Equipment,0.010960112132251308,0.8958326439652716,0.9761506276150628,0.5750655552788481,0.0,0.6806492340079966,0.8722222222222222,414.0
