date,production_daily_return,shadow_daily_return,sp500_daily_return,production_active_return,shadow_active_return,production_mtd_return,shadow_mtd_return,sp500_mtd_return,production_active_mtd,shadow_active_mtd,production_n_holdings,shadow_n_holdings,production_top_contributor,production_top_detractor,shadow_top_contributor,shadow_top_detractor
2026-07-20,-0.0101043795250865,-0.0026557469730653,-0.001932254674466,-0.0081721248506205,-0.0007234922985993,0.0028299440811958,-0.0047085454540915,-0.0074779820074486,0.0103079260886445,0.0027694365533571,105,85,SKYW,TENB,WDC,GPRE
2026-07-21,0.0032422322921292,0.007582020242446,0.008856366018608,-0.0056141337264788,-0.0012743457761619,0.0054320900369266,0.0004462871808645,0.0013121562654208,0.0041199337715058,-0.0008658690845562,105,85,OFG,TENB,WDC,DHR
2026-07-22,-0.0031586320942866,-0.002427114574793,-0.0013636917526039,-0.0017949403416827,-0.001063422822189,0.001759623340307,-0.002399735164465,-5.332486386044888e-05,0.0018129482041674,-0.0023464103006046,105,85,AGCO,FIVN,VIRT,PLTR
2026-07-23,0.0019885436053058,0.0019885436053058,-0.0120896973343308,0.0140782409396366,0.0140782409396366,-0.0005014614297815,-0.0005014614297815,-0.0121423775167268,0.0116409160869453,0.0116409160869453,85,85,FCNCA,COCO,FCNCA,COCO
2026-07-31,0.0034569425191926,7.94425981060385e-05,0.0070036198159879,-0.0035466772967953,-0.0069241772178819,0.0009029355419538,0.0031952117034361,-0.0012853961689047,0.0021883317108586,0.0044806078723409,105,85,CDNA,MTZ,FTNT,RDDT
2026-08-07,0.0081955549746587,0.0032927874912928,0.006184231308959,0.0020113236656997,-0.0028914438176662,0.0246113299806816,0.0087170832278737,0.0357716862832893,-0.0111603563026076,-0.0270546030554155,105,85,FIVN,RELY,PLTR,WDC
2026-08-11,0.0021379803498326,-0.0002050175516923,-0.003212861472107,0.0053508418219397,0.0030078439204147,0.0091624508479025,0.0118165156363684,0.0318409731776243,-0.0226785223297217,-0.0200244575412559,104,85,SEZL,AMN,ORA,DDOG
2026-08-12,0.0056954540996988,0.0030144199937185,0.0026267182752088,0.00306873582449,0.0003877017185096,0.0148948581871725,0.0144796118950668,0.0345513287189791,-0.0196564705318065,-0.0200717168239123,104,85,FORM,FIVN,WDC,CAH
